start_time,end_time,name,description,place,id
2017-09-02T17:00:00-0600,2017-09-04T02:00:00-0600,Sun City Music Festival 2017,"Sun City Music Festival 2017September 2nd & 3rd2 Days | 3 StagesAscarate Park, El Paso, TXEarly Bird tickets on sale Thursday at www.SunCityMusicFestival.com","{name:Ascarate Park, El Paso, Texas,location:{latitude:31.76184274,longitude:-106.40706651},id:409428535772007}",1302359189800118
2017-08-22T12:00:00+0200,2017-08-27T23:55:00+0200,AMA Music Festival 2017,"AMA Music Festival 2017  - Asolo City Park - Asolo (TV)22.08 Interpol - 'Turn On The Bright Lights Anniversary Tour’Fast Animals and Slow KidsGOMMASiberia23.08 Brunori SasThurston Moore GroupMarlene KuntzBeach Fossils24.08Mac DeMarcoNastia (Aftershow on Mainstage)ColombreMiss Chain & The Broken Heels25.08BaustelleElio e le Storie TeseErmal Meta26.08Random, una festa a caso® • Asolo • AMA Music Festival27.08Lo Stato SocialeCanovaGazzelleDutch NazariEspaña Circo EsteDalle 16: HOLI, Il festival dei colori - il primo in ItaliaAbbonamenti:Love Pass (valido per 2 persone): http://bit.ly/AmaLovePassFull Festival Pass: http://bit.ly/Ama1stReleaseBiglietti per le singole serate disponibili su:www.mailticket.itwww.ticketone.itwww.diyticket.itInfo: www.amamusicfestival.comTickets: http://amamusicfestival.com/tickets/Accomodation: http://amamusicfestival.com/camping","{name:AMA Music Festival,location:{zip:31011,country:Italy,city:Asolo,street:Asolo City Park,latitude:45.780593518028,longitude:11.913265182958},id:842200319205399}",293849927654863
2017-09-02T16:00:00+0200,2017-09-03T05:00:00+0200,SuperSpringMusicFestival,SuperSpringMusicFestival@gmail.com,"{name:Thohoyandou 2010 Centre,location:{zip:0950,country:South Africa,city:Thohoyandou,street:mphephu,latitude:-22.968276776765,longitude:30.462584587941},id:121719228027967}",1746550935644313
2017-08-28T22:00:00-0400,,Music Open Mic/Jam,,"{name:Clandestino Miami,location:{zip:33139,country:United States,city:Miami Beach,street:758 Washington Ave,latitude:25.77785,state:FL,longitude:-80.13357},id:369469466433904}",115615352503938
2018-07-28T10:00:00-0400,2018-07-29T22:00:00-0400,Panorama Music Festival,"Get your Passes Here - http://www.kqzyfj.com/click-7987154-10769594-1441285638000?url=http%3A%2F%2Fwww.ticketliquidator.com%2Fresultsgeneral.aspx%3Fkwds%3DPanorama%2BMusic%2BFestival%26sb%3D1&cjsku=77762This year's Panorama Festival kicks off on July 28th at Randalls Island. Artists that will be performing during this three day festival include Solange, Frank Ocean, MGMT, and Nine Inch Nails! Click the Link above to purchase your passes!Like The NYC Daily Event List and visit and bookmark www.NYCDailyEvents.com to stay updated on upcoming events!","{name:Randalls Island,location:{zip:10035,country:United States,city:New York,latitude:40.7904,state:NY,longitude:-73.9263},id:106109549420147}",176133319533583
2017-09-29T07:00:00-0400,2017-10-01T12:00:00-0400,Lost Lands Music Festival,"Excision Presents Lost Lands Music FestivalJoin Excision, Zeds Dead, Ghastly, Rezz, Ephwurd, Space Jesus, Herobust, Boogie T, 12th Planet & more this Fall for a massive weekend filled with bass! For festival tickets & camping passes please visit: www.LostLandsFestival.com","{name:Legend Valley Concert Venue and Campground,location:{zip:43076,country:United States,city:Thornville,street:7585 Kindle Rd,latitude:39.938826635297,state:OH,longitude:-82.402958577172},id:104226036288814}",1751490908214265
2017-09-22T10:00:00-0400,2017-09-24T23:59:00-0400,Imagine Music Festival 2017 - Official,"www.imaginefestival.com FULL LINEUP HERE - 7 Stages:Stage 1-[ OCEANIA STAGE ] (Alphabetical Order By Group)---------------------------------------------------------------ABOVE & BEYOND • DEADMAU5 • TIESTODatsik • Deorro • Flux Pavillion • Illenium • NGHTMRE • Seven Lions • Zomboy12th Planet •  BTSM (Black Tiger Sex Machine) • Liquid Stranger • Marc Kinchen (MK) •  Ying Yang TwinsCodeko •  Eddie Gold •   Fransis Derelle •  Leah Culver • Pyramid Scheme • Ra & Adara • Sunday Service---------------------------------------------------------------Stage 2- [ AMAZONIA STAGE ] (Alphabetical Order By Group)---------------------------------------------------------------BIG GIGANTIC  • PRETTY LIGHTS  • STS9The Floozies • G Jones  •  Hippie Sabotage •  Minnesota Bleep Bloop • Buku • Ill Gates •  Ott •  Rob Garza (of Thievery Corporation) • Spag Heddy Andy Bruh •   Boogie T •  Daily Bread •  Esseks •  The Funk Hunters •  Ployd •  Squnto •  Yheti---------------------------------------------------------------Stage 3- [ DISCO INFERNO STAGE ] (Alphabetical Order By Line)---------------------------------------------------------------CLAUDE VON STROKE • GORGON CITY Chris Lake • Claptone• Nora en Pure • Shiba San • Will ClarkeCiszak • DatelessStage Hosted by: Dirtybird Players---------------------------------------------------------------Stage 4- [ AERIA STAGE ]---------------------------------------------------------------Netsky • Noisia •  Planet of the Drums (AK1200, Dara, Dieselboy, Messinian)  •  Black Sun Empire-----------------------------------------------------------------Stages 5-7 - In Alphabetical Order by Group:-----------------------------------------------------------------Ariel •  ATHRS •  Blunts & Blondes • Halogen • High Kalliber • Higher Learning • Mantis • Midnite Panda  •  OrganikALTI2D  •  Alex Leavon •  Alex Lucas  •  Bandikook  •  Brobots  •  Bryson Taylor  •  Clerks  •   Corey von Waters  •  DaddyDoughDaniels Jack  •  Deep Technicians  •  Devious  •  Dissolves  •  Domii  •  Exit 9  •  Flats Stanlie (Untz Winner) •  Floze Freaky   •   Infexzion  •  Jimmy Cypher  •  Jordan Gervais   •  Jstella •  Kevin Flum •  Kry •  Lucidea  •  Lost SeekersLYFTD (Untz Winner)  •  Mastermynd  •  Nhexis  •  Nugz Bunny  •  Orphin • Patrick Bandy •  Riven  •   Robbie Dude   •  Sejva    Sarah Sativa  •  Scales  •  Sir OJ  •  Space Kadet   •   Stranger Candy  •  SyLo  •  Teriyaki Noize  • The Black Amigo Type 41 •  Vandal Rose  •  Variant •  Vitillaz  •  White Rhino  •  Yuki  •  Zach Berman •  Zen Selekta  •   ZubahMusic Blocks By:1200 Hustle  •  Bass Family  •  Slow & Low  •  Torch DnB • Trance Family  •  Wiggle Factor-----------------------------------------------------------------Imagine Music Festival (IMF) is an electronic dance music festival held in Atlanta, Georgia at the Atlanta Motor Speedway. Voted Top 10 festival in the world by Fest300, and Top Ten Emerging Music Festivals by USA Today, the festival features multiple stages hosting the world’s top electronic musicians, DJ's and bands along with captivating cirque style acts & performances.Checkout all the amazing transformational workshops in the Imaginarium at Imagine Music Festival. Learn Aerial Yoga, Acro Yoga, Permaculture, Aerial Arts, Flow Arts, Mastery of Life, Meditation, Yoga, Sacred Geometry, Consciousness, Mindfulness, Art, and many more. Workshops are free but limited spaces are available so sign up TODAY!!!https://imaginemusicfestival2017.sched.com/mobile/#page:page-scheduleWhen Imagine Music Festival arrives, the event will transport festival-goers to an immersive aquatic fairytale featuring multiple magnificent stages with world-class sound and lighting production.  Wander through fantastic atmospheres filled with mind-bending circus performers, mermaids, sea creatures, art installations, vendors and more, creating an unforgettable 360-degree experience.The combination of your favorite artists, interactive entertainment, captivating art installations and so much more, will make your Imagine Festival experience one you will never forget.We look forward to bringing your imagination to life! Welcome to the Imagine Music Festival.Tickets on Sale Now at www.imaginefestival.com---------------------------------------------------------------Imagine Festival 2017 is proud to announce their first Festival Fashion Show!!Imagine Fest is partnering with The Festival Fashion Show to provide 30 fans with FREE WEEKEND PASSES to the festival!What's the catch? We want you to be a celebrity for a day and rock premier festival fashion designers on stage at the event! We're here to pamper you and bring forth your Festival Avatar with included food, drinks, hairstyling, makeup, and high-res photos to ensure you truly shine in your moment.We will be hand-selecting the 30 models that we feel most effectively put our festival ideals into practice in their daily lives. People will be chosen for their ROLE modeling, not their RUNWAY modeling, through our festive model application below.----------------------------------------- ApplicationThis year, Imagine Fest is Aquatic Themed. Long ago during the apex of Atlantis existed the city of Imaginarium, a technologically and spiritually advanced civilization. In this city lived mystics, scientist, artist, sages, healers, seekers and wisdom keepers with sacred and hidden knowledge of the universe. Who among you in the present are an #imaginarymodel today?To become a ROLE model, you have to apply yourself. Your application requires:1) A headshot & a full body shot in your favorite festival outfit.2) A 100-250 word article on why you are an #imaginefestmodel. Show us what you do to make a difference. How are you living a healthy lifestyle, how do you build up your community, and how do the people you know & love have a better life because you're in it? Are you a humanitarian, an artist, a techie, or a sage? How do you use your imagination to help the world? Include the hashtag #imaginefestmodel in your post.3) Share this post and click going on the event page. 4) Post all of the above (numbers 1-3) on the Facebook event page HERE (NOT on this event page) -> https://www.facebook.com/events/377599899244459/?active_tab=about","{name:Atlanta Motor Speedway,location:{zip:30228,country:United States,city:Hampton,street:1500 Tara Pl,latitude:33.387455127634,state:GA,longitude:-84.315728817386},id:96049457331}",377599899244459
2017-08-25T17:15:00-0700,2017-08-25T20:15:00-0700,WAR at Music in the Park,"Music in the Park presented by Metro welcomes WAR THE BAND.UPDATE:  This event is near sell-out.  You must purchase tickets online. Sorry, there will be NO sales at the door tonight.From Low Rider to Why Can’t We Be Friends, WAR has been bringing the Afro-Cuban, Jazz, Rock, Blues fusion to your ears since before you could dance.Local openers - Corazón Salvaje Music - serve up a sound brewed with the thunder of Afro-Latin rhythms, a pinch of poetry, and the drive of accordion and guitar.And Music in the Park brings all of the traditional awesomeness – live music in the heart of downtown San Jose, great crowds and amazing drinks. This year we are excited to offer beers from Ballast Point Brewing Company and MillerCoors.Food vendors include:  Nox Cookie Bar; Chacho's; Pizza My Heart; Falafel Fresh good truck; MoGo BBQ truck; Soulnese Food Truck; Poor House Bistro and Crab Fiesta.Gira Fuerza Ford will have the 2018 Ford F-150 near the entrance available for a sneak peek. You can get a chance to win one and can register for a test drive at girafuerzaford.com.Right now general admission tickets are just $10 at the link below - or in person at STREETLIGHT RECORDS (980 S. Bascom Ave., San Jose, CA). They go up to $15 the day of the show.  (VIP tickets are all sold out).Kids 12 & under are FREE with paid adult. Enjoy family-firendly picnic style games and the San Jose Sharks slap shot booth in the kid-friendly zone on the south end, across from The Tech Museum of Innovation.We'd like to thank our sponsors for making Music in the Park possible. They include: Metro Newspapers; San Jose Office of Cultural Affairs, San José Parks, Recreation and Neighborhood Services, Visit San Jose; Content, Silicon Valley Bicycle Coalition, El Observador Newspaper - San Jose - Silicon Valley - Local  Bilingual News, NBC Bay Area; Telemundo 48; KGO 810; KKUP, KQED Arts and Deloitte San Jose.FREE valet parking 4:30pm - 9:30pm courtesy of Silicon Valley Bicycle Coalition (near the admisisons gates/ south end of the park).  Other transportation info here:www.parksj.orgww.vta.org","{name:Plaza De Cesar Chavez,location:{zip:95113,country:United States,city:San Jose,street:170 S Market St,latitude:37.332450103624,state:CA,longitude:-121.88977767641},id:146096665419212}",463948263941596
2017-08-25T17:00:00+0200,2017-08-27T01:00:00+0200,Touquet Music Beach Festival ? 25 • 26 août 2017,"TOUQUET MUSIC BEACH FESTIVAL Un festival dans le ventOn met les voiles !Un vent de fraîcheur souffle sur cette nouvelle édition du Touquet Music Beach Festival.Nouvelle équipe et nouvelle formule, signée par la team du festival lillois Les Nuits Electriques !Place désormais à deux soirées sur la plage, les 25 et 26 août 2017, pour un grand mix d'une dizaine d'artistes entre têtes d'affiches internationales et coups de cœur de la nouvelle vague. Préparez-vous à surfer le must des tendances electro, disco & pop.Mais aussi un maximum de glisse en journée : wakeboard, paddle, canoë, char à voile avec les partenaires de la station et bien d’autres surprises pour profiter pleinement du Touquet Paris-Plage.De quoi terminer l'été par un grand bol d’air et de son !Regardez le TEASER VIDÉO OFFICIEL !Par ici : http://bit.ly/2vqdITQ??????????????? PROGRAMMATION COMPLÈTEVendredi 25 août | 17h00 - 01h00? The Avener? Kungs? Paradis (live)? L'Impératrice (live)? AZUR (live)? Too Many CarsSamedi 26 août | 17h00 - 01h00? Vitalic Official (live)? Agoria? Todd Terje (live set)? Agar Agar? NUMéROBé? DiederdasLes horaires de passage seront communiqués uniquement sur place.? Rendez-vous à 18h15 vendredi 25 août pour la retransmission en direct du concert de l'Impératrice grâce aux équipes de Cercle, sur notre page facebook officielle, mais aussi sur Trax Magazine et La Voix du Nord ! ???????????????  ACTIVITÉS DE GLISSE : Avant les concerts, vous pourrez peut-être profiter de séances d'initiation à la glisse !- Wakeboard au Touquet Wake Park- Surf ou Stand Up Paddle en fonction de la météoL'équipe YouRide Surfshop présentra en exclusivité les dernières planches Slingshot !TENTEZ DE GAGNER VOS PLACES pour les cours d'initiation sur cette page : ? http://touquetmusicbeach.fr/activites-glisse ??????????????? BILLETTERIE :    Site officiel ? http://touquetmusicbeach.fr/billetterieTickets + Hôtels ou Campings : Festicket ? http://smarturl.it/Touquet_FesticketMais aussi :Digitick ? http://smarturl.it/Touquet_DigitickFnac ? http://smarturl.it/Touquet_FnacTicketnet ? http://smarturl.it/Touquet_TicketnetRéservations VIP par mail : vip@touquetmusicbeach.fr????????????? ?  FOOD - Avec Nostrum, 100% naturalImplante?e a? la capitale depuis peu, la chai?ne de restauration s’installe a? Lille en septembre et compte bien conque?rir la re?gion des Hauts-de- France par la suite.C’est donc en exclusivite? qu’ils pre?senteront leurs produits aux festivaliers du Touquet et leur o riront un cadeau surprise...Pâtes, glaces, salades, de 2 à 5€Découvrez la carte par ici : http://bit.ly/2vgeRej??????????????  INFOS PRATIQUESRetrouvez le maximum d'infos pratiques sur notre site web : ? http://touquetmusicbeach.fr/infos-pratiquesLe Touquet-Paris-PlageOuverture des portes - 17H00Fermeture - 01H00? Accès : Voir la carte des lieux par ici : goo.gl/YFg4wE  ??  CONSIGNES DE SÉCURITÉ :Objets interdits : - armes, objets tranchants et contondants,- objets roulants et encombrants,- nourriture, liquide, bouteilles en verre et canettes,- casques deux roues,- drogues,- sacs encombrants,- caméras professionnelles,- aérosols,- articles pyrotechniques,- feutres et marqueurs,- animaux. ? Tout objet considéré comme dangereux sera confisqué avant l’entrée par les équipes de sécurité, de même que la nourriture, les boissons, les casques 2 roues, les appareils et caméras professionnelles. Laissez-les chez vous ou dans vos voitures !? Fouille systématique et obligatoire avant toute entrée dans l’espace du festival (palpations et contrôle des sacs seront effectués dans les périmètres de filtrages).? SACS : - Autorisés : bananes, sacs à main, totebag...- Interdits : Grands sacs à dos, sacs de sport, valises...   ?????????????? PARTENAIRESAssociaton Touquet Beach FestivalMIALAFrance Leduc ProductionsCrédit Mutuel Nord EuropeSacemLe Touquet-Paris-PlageRégion Hauts-de-FranceCôte d'Opale - Pour être mieuxYouRide SurfshopHotmer Le TouquetVirgin RadioLa Voix du NordTrax MagazineCercleLittlebigcityBewareBon Temps magNord LittoralBoulogne LifeStyleTSUGIWéo, la télé Hauts-de-France ??????????????? REMERCIEMENTSUn grand merci à Parade Studio pour l'identité visuelle du festival !","{name:Touquet Music Beach Festival,location:{zip:62520,country:France,city:Le Touquet-Paris-Plage,street:FRONT DE MER,latitude:50.526360098123,longitude:1.580057144165},id:1751296308440030}",448172175524451
2017-09-29T12:00:00+1000,2017-10-02T20:30:00+1000,Caloundra Music Festival 2017,"Early Bird Tickets on sale NOW!Artists Announced so far. . . .Art vs Science | Baby Animals Music | Bearfoot | black bird hum | British India | ChocolateStrings | Clairy Browne | Daryl Braithwaite | Drapht | Erica Falls | George Clinton and Parliament Funkadelic | Glenn Hughes | Grinspoon | Groovement | Hot Potato Band | Jon Stevens | Karl S. Williams - Musical Fool | Killing Heidi | KINGSWOOD | Lachy Doley | Ladi6 | Old Crow Medicine Show | Pseudo Echo | Red Young & The Hot Horns | Ronan Keating | Spiderbait | Stomping Ivories - The Duelin' Piano Show | Stonefield | The Black Sorrows | The Nth Power | The Strides | THUMP | Thundamentals | TOWN | Wolfmother | Xavier Rudd - Official Z-STAR http://www.caloundramusicfestival.com/ticket-types-prices/Presented by Sunshine Coast Council, the eleventh annual Caloundra Music Festival will be held over the weekend of 29 September – 2 October 2017.The beautiful Kings Beach and surrounds will be treated to the sounds of a diverse line-up of entertainment featuring the best of the Australian music industry as well as famous international artists.","{name:Kings Beach, Caloundra, Sunshine Coast,location:{zip:4551,country:Australia,city:Caloundra,latitude:-26.803171053534,state:QLD,longitude:153.14162621657},id:186084584764589}",814358422050873
2017-09-02T17:00:00-0400,2017-09-02T21:00:00-0400,A Taste of Soul Food and Music Festival,"Taste of Soul ATL is back again with more flavor than ever before! There will be soul food for all, good drinks, all the live tunes you could ever want and we have the VIP experience to everything! What else needs to be said?WHAT TO EXPECTAccess to all of the soul food you could ever wantTwo free complimentary drink ticketsReserved priority stage seating, with private restrooms (no more lines!!!)Did you know that that the Westside of ATL boasts more soul food restaurants per capita than anywhere else in the world? For the third year in a row, Taste of Soul Atlanta Festival is back to celebrate one of our oldest and most historic of traditions: our soul food. Located at the foot of Atlanta’s new Mercedes-Benz Stadium, in the heart of the country’s Soul Food capital, Taste Of Soul Atlanta has every kinda soul you could imagine. In addition to the mainstays of ribs and fried chicken, there will be mac n’ cheese and collard greens for the traditionalist, chicken n’ waffles for the new heads, jerk everything for the Caribbean lovers, and so much more. There is even talk of a “Soul Empanada” to celebrate the fusion of soul and Latin food! (Oh, and vegan lover’s rejoice, this festival has tons of soul for you too!)After feasting Taste of Soul Fest caps things off with a music concert series, and we have the exclusive VIP pass. The Taste of Soul concert series promotes and highlights some of the best R&B/Soul musicians in ATL, as well as the South in general. Our VIP pass allows you front row access to this year's concert, which features Ricco Barino, Phillipia, Jerome Holloway, Philip Michael Thomas Jr and more! Besides the primo-table-clothed seats, we have two complimentary drink tickets to slide your way. Nothing washes a plate of meat+three down like a couple good cocktails of brews. The best thing about these seats and complimentary drinks? You will be practically on the stage, so you will be primed for all the best dancing spots! We doubt you will be able to resist cutting a rug on the dance floor after you properly combine soul food + a couple brewski’s + good tunes.$39REGULAR PRICE: $50SEP 2 SATURDAY5 - 9 PMLOCATIONWESTSIDE 10 Northside Dr. & MLK Jr. Dr., Atlanta GA 30314no refunds, festival happens rain or shine21+ to drinkhttp://tasteofsoulatlanta.com/faq/","{name:Atlanta, GA, United States,location:{country:United States,city:Atlanta,latitude:33.7489,state:GA,longitude:-84.3881},id:107991659233606}",133419270557562
2017-10-31T22:00:00-0500,2017-11-01T07:00:00-0500,Música y Eventos Perú,"FIESTA BLANCA 2 Año Nuevo 2017 | Punta Hermosa Todo Incluido - Corcho libre Te invitamos a formar parte de nuestra segunda edición, esta ves tenemos preparado nuevas sorpresas, artista internacional.. y la mejor organización que nos caracteriza.Artista Internacional: JORGE VILLAMIZAR (Bacilos)Time producciones y La BovedaEventos Realizados: • Fiesta Blanca Año Nuevo 2016 con Jandy Feliz en Punta Hermosa Club - Club Cafae.• Black Halloween con Chino y Nacho + Kevin Roldan en el Jockey Club.INFORMACIÓN - RESERVA DE BOXESENTRADAS PRE VENTAWASAP: 993840871","{name:Lima, Peru,location:{country:Peru,city:Lima,latitude:-12.0433,longitude:-77.0283},id:108446732520456}",192369981166846
2018-02-24T11:00:00+1100,2018-02-24T23:00:00+1100,Ultra Music Festival Australia 2018,"The rumours have been confirmed.Ultra Music Festival makes its way down under in February 2018.Be sure to click attending to be one of the first to receive notification’s on important news, updates, competitions, ticketing & line up info once it drops.PLEASE NOTE:This is not the Official UMF Event, nor is the date confirmed.Full event details will be updated on this event page once more info has been announced.","{name:Andrew Velaskuxx Tickets,location:{zip:2209,country:Australia,city:Sydney,street:Beverly Hills,latitude:-33.94693,state:NSW,longitude:151.08015},id:241854349306886}",281388385635074
2017-08-25T18:00:00+0900,2017-08-26T02:00:00+0900,XMF 2017 (Xyyp Music Festival),"?? XMF (music festival 2017) ??? ?? ???? “?????? HD, “BRB”, “Xyyp”, “Brainstorm”, “Skinny”  ????????? ??????? ???????? ??? ???? ??????, ?????, ???????? ??????? ?????????? ???? ??????? ??????  “XMF 2017 ????? ??? ??? ???? ??????? ??? ???????? ??????? ?????? ????????? ??? ?????. ?????? ??? ??? ???????? ?????? ???? , ?????? ?? ?????? ????? ??? ??????? ??.?? ? ???????? ???? ????????? ?????? ??? ???????? ??????????? ??????? ??? ???????????? ???????: ?? ????? ? ???????? ????????? ??????? ??? ??????? ????, ?? ??? ?????? ????? ??????????? ??? ?????? ???? ?????. ??? ??? ???? ??????? ??? ?????????????? ?????? ????????.?? ???????? ??????????? ?????????? ????????? ????? ????? ????????????? ???? ?????? ?????????? ?????. ?? ??????? ?? ???? ???? HD LED ???????????? ??? ??????? ?????????? ????????? ???? ?????.?? ????? ??????? ???? ??????????? ?????? ??????????. ???????????? 150 ????? ?????????? ?????? ?????? ?????????? ???? ??????? ?????.?? ?????? ???? ???? ???????? ????? ?????? LED ????????? ?????????? ??????? ???????? ???? ?????????? VJ ??????? ?????. ??? ?? ?? ???? 2 ????? ?? ??? ????????? ?????? ???????? ????? ?? ??. ?? ????? ??????: 1 ???? ???? (??? ???????? 1 ???? ?????? ???????-? ??????? ?????? ??? 2017 ??? 9-? ????? 3-?? ???? ????? ????????? ??????? ?????? ???????????)... ??? ??? ???? ???? ?????? ????? ????? ??? ??????? ?????? ?????????? ????? ?????? ?????.??????????:1 ???? ???? (2017.08.25): HIP HOP NIGHT (???????? ????????? ????? ???????? ???? ????????? ???????? ??????)LINEUP DAY1>>>Big GEE > Rokit Bay > Ice Top > Lumino > G2 (Korea) > Mr.Dogs >  Opozit > Desant > Mekh ZakhQ > Thunder > RataBuzz > Wolfizm > NMN > Ginjin > Roockie > Lil Thug E > Mrs.M > Flash > M?????? ??? > Outlaw > Luundaa > Punk & Rap > Fla > Don Dior2 ???? ???? (2017.08.26): EDM NIGHT (??????, ???????? ?????? ????? DJ ????? ???????)LINEUP DAY2>>>> DJ Simon & Lush > DJ Zonderling > DJ Junior & Royal > DJ Henza > DJ Zolo > DJ GOOTII > MMPTMk > DJ UNA? ?????: 2017 ??? 8 ????? 25, 26??????: ??? ????????? ?????????????: 17:00-02:00 (???? ???)? ????? ???????? ????? ??????????? ????????, c??????????????? 2017 ??? 07 ????? 24-?? ????????? ???????? ?????. ??????????? ????????:Ticket.mn ??? ???????? ????? ?????? ?????????? ?????????? ?????.1??? TicketBox 1: Shangri-La Mall??????????? ???, ????????? ?????? 1-? ?????, ???????? ??????, 3 ?????? 306 ????2??? TicketBox 2: E-MART???????????-13381, ???????? ??????, ????????? ??????, ????? ?????? ???????? 2 ???????3??? ?TicketBox 3: Hi Fi RecordsHi-Fi Records ??? ??????? ?? ???-? ???? ????, 44-? ????4?? Ticket.mn ?????????-2 ??????????? ?????? ???, ????? ????????? ?????? 209 ???5?? ?????? ???? ?????? (5? ???)6?? ????????? ???7??? ?????? ???? ????? 8??? ???? ????????? Brick House ???????? ???????? ?????.#XMF2017#BiggestSummerEvent#August2526#PoweredbyXACBANK#????????????????????????? www.XMF.mn     https://www.ticket.mn/event/324/?? ??????? ??????? ??????????? ?????????? 97006767, 83006767, ?????????? ??????? ??????????? ?????????? 1900-1800 ?????? ???? ??.","{name:??? ????????? ????????,location:{country:Mongolia,city:Ulaanbaatar,street:Mahatma Gandi street-1, 15th khoroo, Khan-Uul district,latitude:47.901969256857,longitude:106.91630120943},id:849122375162422}",1988069684756010
2017-09-15T18:00:00-0500,2017-09-17T14:00:00-0500,2017 Music City Food + Wine Festival,"Quintessentially Southern and undeniably cool, the 2017 Music City Food + Wine Festival puts you at the heart of gastronomic revelry. We're returning to Bicentennial Capitol Mall State Park for a weekend of wine, dining, and demos!","{name:Music City Food + Wine Festival,location:{country:United States,city:Nashville,street:600 James Robertson Pkwy,latitude:36.171256655581,state:TN,longitude:-86.787700958372},id:283826365053661}",1963295607226557
